,Basis,HP,Momentum,Skewness,Basis-Mom
1/30/1987,-0.022268003,-0.010105614,0.021289477,0.008910252,-0.029338102
2/27/1987,0.007921407,-0.013922362,0.021050493,-0.00600579,-0.010181985
3/31/1987,-0.003690123,0.084397048,0.001407153,0.001161139,0.048020414
4/30/1987,0.003188964,-0.012372877,0.024168253,-0.027363255,0.01347122
5/29/1987,0.008422611,0.01999321,-0.020905503,-0.006182045,0.024015824
6/30/1987,0.024563719,0.032495852,-0.022662976,0.001661623,0.027561087
7/31/1987,0.051118883,0.057219187,-0.003829617,-0.037727209,0.059398524
8/31/1987,-0.012373736,-0.023022227,-0.003827793,0.012632026,-0.002377125
9/30/1987,-0.047835555,-0.014007307,0.009331011,-0.07456704,-0.063676911
10/30/1987,-0.019070351,-0.024897117,-0.029689338,-0.013804536,-0.025570563
11/30/1987,-0.001556039,-0.001611354,0.008991984,-0.027819926,-0.008928449
12/31/1987,-0.031993812,0.01095606,0.025399595,-0.001378313,-0.010180246
1/29/1988,0.00191055,0.017786199,-0.02240489,-0.007019319,-0.031225705
2/29/1988,-0.009527255,0.015757953,0.013095852,-0.001931457,0.015763929
3/31/1988,0.010541266,-0.054732468,0.008132802,0.018954913,0.039037934
4/29/1988,-0.040942493,-0.03648955,-0.02149117,0.023335468,0.048958339
5/31/1988,-0.01907053,0.003412087,0.026831464,-0.030842658,-0.007176342
6/30/1988,-0.102517463,0.08847742,0.040734599,0.01471015,-0.091562653
7/29/1988,0.042503533,-0.05727599,-0.040932082,0.071419606,0.079461854
8/31/1988,0.014747697,0.035412583,0.002315485,0.008526672,0.011001762
9/30/1988,0.033041237,-0.0053382,0.015837947,0.008404825,-0.0042731
10/31/1988,0.066000378,-0.008736092,-0.021625419,-0.003640958,0.054605474
11/30/1988,0.046868629,-0.017599338,-0.020718734,0.024625475,0.047157372
12/30/1988,0.000717983,0.018299683,-0.017250502,-0.024071847,0.004487634
1/31/1989,0.008360672,0.004988277,0.000542256,0.037804654,0.006808592
2/28/1989,0.024688788,0.014669385,-0.003520934,0.008388509,0.030866283
3/31/1989,0.024396141,0.04744588,-0.020245274,0.013747981,0.063191563
4/28/1989,-0.015900087,0.049276168,-0.032293462,-0.003110477,0.047363721
5/31/1989,-0.000872561,0.007277803,-0.025431932,0.020708691,0.008058742
6/30/1989,-0.008223743,-0.014025183,0.036948984,0.017952249,-0.027971354
7/31/1989,-0.046128778,0.048681083,-0.029734982,0.028519382,-0.015864211
8/31/1989,-0.037248439,-0.011498795,-0.020270194,0.010099937,0.00144292
9/29/1989,-0.006948554,0.022252662,0.01647116,0.012761033,-0.0169564
10/31/1989,0.006102455,-0.013789814,0.016816074,0.00640365,0.001585905
11/30/1989,0.0179849,-0.003982904,0.002719081,0.008357572,0.016531938
12/29/1989,0.031902224,0.067705089,-0.075909099,-0.025248184,0.040504804
1/31/1990,-0.076771899,0.004990694,0.008136169,0.010042284,-0.022068544
2/28/1990,0.003369349,-0.044825827,-0.003660605,0.0293656,-0.011192053
3/30/1990,0.000332368,-0.003611039,0.005557447,0.000161457,-0.008090139
4/30/1990,-0.004272315,-0.001835758,0.019473205,0.03611,0.006444799
5/31/1990,0.01836173,-0.000485297,-0.010647351,-0.009376576,0.008297604
6/29/1990,0.040801155,0.003203355,-0.020380528,-0.002977026,0.00113497
7/31/1990,0.012378457,0.035299994,-0.047432857,-0.047156308,0.037808119
8/31/1990,0.027594008,0.066691954,-0.056329897,-0.052970711,0.060858683
9/28/1990,0.011072737,0.077126752,-0.034682784,-0.037767336,0.054535876
10/31/1990,-0.003370357,-0.031795305,0.019646397,0.030986235,-0.046062302
11/30/1990,0.003724433,-0.023614845,0.025627794,0.013896103,-0.031106232
12/31/1990,0.014687757,-0.001335746,-0.019775888,0.013825038,0.034701695
1/31/1991,-0.049184121,-0.013353393,0.013424321,0.006433341,0.033893896
2/28/1991,0.01230361,0.016623799,0.002265613,-0.01288701,0.023755253
3/29/1991,0.00791443,-0.004941067,-0.00066138,-0.011095554,0.009867667
4/30/1991,1.06E-05,0.032341271,0.011344987,-0.013247344,0.015757587
5/31/1991,-0.033655078,-0.003573868,-0.006722834,0.009782658,0.014909906
6/28/1991,0.02106375,-0.008683014,0.01560119,0.022865816,0.010816915
7/31/1991,0.007011274,-0.019130768,-0.053507511,-0.022762318,0.015523846
8/30/1991,-0.015426196,-0.007761384,-0.023107418,-0.008672473,-0.023913861
9/30/1991,-0.005397558,-0.002182907,0.0105593,0.014103158,0.008795245
10/31/1991,0.011525793,0.015510056,0.031779298,0.043714674,0.009382886
11/29/1991,0.006061647,0.01275162,0.005295231,-0.002584823,0.0070499
12/31/1991,-0.070199713,0.018012303,0.002733558,-0.030725733,-0.009591448
1/31/1992,-0.003603529,0.029102153,0.01430205,0.012238849,0.018003244
2/28/1992,-0.006233443,-0.011229311,-0.01514281,-0.012143566,-0.011408005
3/31/1992,0.011291759,-0.013116544,-0.004621046,0.010920583,-0.014897641
4/30/1992,0.004730156,-0.002846044,-0.022113261,0.038564004,-0.004567126
5/29/1992,0.013437647,0.034710633,-0.011352376,-0.000406107,0.018236575
6/30/1992,0.008347994,0.000401829,-0.022113165,0.016448805,0.001579943
7/31/1992,0.000953695,-0.022094732,0.003950072,0.034995252,-0.012505221
8/31/1992,0.011637443,0.013482686,-0.007774019,-0.001935407,-0.012855381
9/30/1992,-0.014081945,0.007995486,0.001376058,0.021392097,-0.000895993
10/30/1992,-0.006083293,-0.019207292,0.012482165,-0.001779012,-0.001615314
11/30/1992,-0.004652313,-0.009678016,-0.012785734,-0.017001411,0.00902034
12/31/1992,-0.003778081,0.026408086,0.003459089,-0.009264971,-0.017345007
1/29/1993,0.070807288,0.034189799,-0.00976209,0.033828301,-0.011223331
2/26/1993,0.017558432,0.070943239,-0.015449319,-0.005965801,0.069584555
3/31/1993,-0.002790957,0.020671799,0.016840605,-0.007745391,0.028379118
4/30/1993,0.012008331,-0.0100227,0.0297016,0.031791761,-0.007354258
5/31/1993,-0.004099547,-0.051729984,0.031393467,0.016838933,-0.025750078
6/30/1993,-0.004651062,-0.013400083,0.011165478,0.036716975,-0.01198039
7/30/1993,0.035824922,0.001568229,0.04216344,-0.009825287,0.025627186
8/31/1993,-0.008662492,-0.018623661,-0.031189098,0.007553121,0.005506825
9/30/1993,-0.043130376,-0.030762946,-0.026922805,-0.0165202,-0.032913506
10/29/1993,-0.020835137,0.014299422,0.031812647,-0.036849103,0.023748695
11/30/1993,-0.02844504,0.026224443,0.009142789,-0.038502961,0.035768196
12/31/1993,0.018432021,0.040357093,0.039216946,-0.01724626,0.025799701
1/31/1994,0.005512054,-0.046037766,-0.041611007,-0.004750602,0.008276443
2/28/1994,-0.026854635,-0.02744788,0.019539424,0.024832574,-0.043283466
3/31/1994,0.022344627,0.005878178,0.01921225,-0.003200224,0.023300257
4/29/1994,0.002686215,-0.042359337,-0.030652517,-0.002830955,0.018792067
5/31/1994,-0.012487064,0.007678296,0.019426738,0.012680729,0.004167175
6/30/1994,-0.02520096,0.0378871,0.010269616,-0.048193684,0.030654687
7/29/1994,-0.013862149,0.034515943,-0.020553665,0.041462056,0.012674557
8/31/1994,-0.00951615,0.008301678,0.031896005,0.022333371,-0.026045146
9/30/1994,0.011987353,0.022837201,0.008483357,0.005681623,0.024687643
10/31/1994,0.010600629,-0.032726513,-0.015130561,0.030486268,-0.011520512
11/30/1994,0.060792678,0.032047694,0.007173187,0.060657006,0.052300021
12/30/1994,-0.018323613,-0.005150785,-0.002933113,0.002233034,-0.021046059
1/31/1995,-0.005120431,0.008055209,0.004928336,0.028429348,0.036317107
2/28/1995,0.007528426,0.016282006,-0.011366108,0.00380681,-0.019847828
3/31/1995,-0.007796392,-0.007982286,0.023083001,0.020585918,0.01820969
4/28/1995,0.017009373,0.015035072,-0.013175876,0.013912031,0.020161004
5/31/1995,-0.000629036,-0.002743482,-0.013045179,0.025532247,0.004409292
6/30/1995,0.029312696,0.019590734,0.017199123,0.009282994,0.015088309
7/31/1995,-0.034292985,-0.01832857,-0.004138064,0.020467883,-0.020585626
8/31/1995,-0.018851095,-0.012851782,0.002939546,0.009084953,0.004241286
9/29/1995,0.013902835,0.069079786,0.007512771,0.002022237,0.017702585
10/31/1995,0.000250102,-0.006832136,-0.003557947,0.018751428,0.00198718
11/30/1995,-0.005731429,0.011220113,-0.044477915,0.010954964,0.017919616
12/29/1995,0.033179624,0.030185124,0.004362348,0.033049695,0.021931261
1/31/1996,0.042419517,-0.036984149,-0.025475974,-0.023284324,0.01099197
2/29/1996,0.012201045,0.024270047,0.023682319,0.009881581,0.031507078
3/29/1996,0.027283565,0.021936067,0.001051822,0.006449726,0.028698953
4/30/1996,0.012440531,0.033938079,0.044743344,-0.016127643,-0.014114897
5/31/1996,-0.032409815,-0.024166793,-0.009214089,0.001665106,-0.007250868
6/28/1996,0.012331144,0.045552678,-0.044623859,0.024761962,0.03486125
7/31/1996,-0.045748776,-0.034006087,0.057382342,0.016752282,-0.017070302
8/30/1996,0.023530941,-0.01581932,-0.006476359,-0.009596942,0.000453308
9/30/1996,-0.050282616,0.032334645,-0.020095653,0.000606881,0.036312345
10/31/1996,-0.042819506,0.01051054,-0.019241466,0.019568878,-0.002090189
11/29/1996,-0.015967449,0.035172311,0.011260265,0.029325658,0.02165896
12/31/1996,0.007060642,0.0262607,0.0297801,-0.006004339,0.00675228
1/31/1997,-0.019801992,-0.025025306,0.020893492,0.021712896,0.005556021
2/28/1997,-0.020618157,-0.047347008,0.036464695,-0.038756541,0.02376159
3/31/1997,0.022509272,0.014007717,0.010209715,0.015855728,0.016581696
4/30/1997,0.023233787,0.040475282,0.012050737,-0.006441086,0.019123629
5/30/1997,0.059138047,0.060045652,0.016470333,-0.013310394,0.049614142
6/30/1997,-0.079208692,-0.059575929,-0.03562857,-0.042257215,-0.066786851
7/31/1997,0.03237505,0.000546639,0.009281655,0.016452007,0.031330556
8/29/1997,-0.000916356,0.027575264,-0.013260994,0.002086321,0.006660997
9/30/1997,-0.026191677,-0.027766059,0.000442409,6.42E-06,-0.016679552
10/31/1997,-0.01153146,0.019820292,-0.008066885,0.006146372,0.01689052
11/28/1997,-0.011100114,0.001581619,0.040015034,0.029321722,0.032517869
12/31/1997,-0.001542108,0.027988151,0.027811008,-0.012775,0.026099426
1/30/1998,-0.005856527,0.004409678,0.027609946,-0.006852961,-0.012164443
2/27/1998,-0.025042139,0.030260591,0.031171095,0.013995502,0.014338164
3/31/1998,-0.015390883,-0.014041729,-0.020127541,0.017029214,-0.028889866
4/30/1998,0.002616944,0.028324781,-0.010231521,-0.024933524,0.020165671
5/29/1998,-0.001321517,-0.014802936,-0.022477786,-0.011062517,-0.028132377
6/30/1998,-0.008555769,0.001802383,-0.024619828,-0.001774858,0.021413929
7/31/1998,0.029725488,0.008761679,0.037312924,0.024927465,0.01515464
8/31/1998,-0.019841041,0.005255463,0.00272309,-0.032113255,-0.012497433
9/30/1998,-0.035103539,-0.066685777,-0.027193287,0.021579114,-0.043114038
10/30/1998,-0.018725675,0.009915894,0.016284364,0.016202762,0.013391674
11/30/1998,0.05252716,0.051654185,0.051899784,0.08240429,0.058993369
12/31/1998,0.042734475,0.006806406,-0.002534078,-0.014521016,0.028306177
1/29/1999,-0.062079838,-0.003258097,-0.014746805,-0.002119929,-0.039131385
2/26/1999,-0.002196594,0.026978079,0.015630341,-0.027615141,0.014310387
3/31/1999,-0.0102152,-0.076952556,-0.026787156,-0.005565108,-0.00304659
4/30/1999,-0.049287381,-0.015902723,0.02252602,-0.007090232,-0.010353538
5/31/1999,0.066879362,-0.002499353,0.001061274,0.021174233,0.033763644
6/30/1999,-0.013728261,-0.012511454,0.008236979,0.000445792,0.088100624
7/30/1999,0.0173928,0.006967595,0.015329196,-0.011585508,-0.019126516
8/31/1999,0.018076515,0.005832979,-0.012212442,0.001464077,0.036593147
9/30/1999,0.034203283,0.012658007,-0.007602711,-0.027875998,0.018301148
10/29/1999,-0.004220272,-0.001943519,0.005323604,-0.00179849,-0.014267385
11/30/1999,0.02685369,0.040422504,0.009600387,0.023276094,0.043177848
12/31/1999,0.016300146,0.035159936,0.025124104,-0.000794716,-0.006143634
1/31/2000,0.036486427,0.051808943,-0.014651166,0.01507436,-0.004761646
2/29/2000,0.067919535,0.090104473,0.009204422,0.042049585,0.006332043
3/31/2000,-0.042646823,-0.036679099,-0.012747013,0.033135866,0.01941339
4/28/2000,0.028768007,0.033958569,0.011951431,0.02232352,0.020222187
5/31/2000,-0.003638929,0.031803566,0.001360061,0.055094018,-0.016132508
6/30/2000,0.089755111,0.071851437,0.017162552,0.014410872,0.057856498
7/31/2000,-0.003612558,0.008480941,0.013990172,0.007718,-0.0058956
8/31/2000,0.020768989,0.042713382,0.000943237,0.023894242,0.075781009
9/29/2000,-0.00188116,-0.013740588,-0.008454844,-0.00176134,-0.024087301
10/31/2000,0.025446712,0.033073158,0.000182794,0.010746625,0.029475568
11/30/2000,0.021525639,0.056593758,0.001145686,0.009152037,0.03010859
12/29/2000,0.025052502,0.040471868,-0.021700533,-0.005759613,-0.023180586
1/31/2001,-0.059025655,-0.053944108,-0.00772765,-0.019978226,0.009574633
2/28/2001,-0.018342805,-0.011033817,-0.044642789,-0.013982467,0.00666115
3/30/2001,-0.028145591,-0.001720951,-0.02776108,-0.01682966,-0.006233718
4/30/2001,0.017366162,-0.003350306,0.040920627,-0.00604416,0.015210974
5/31/2001,0.026478629,0.005225919,0.032241245,-0.02025141,0.041231113
6/29/2001,-0.025493497,-0.016437426,-0.024856954,-0.015866046,0.016999314
7/31/2001,0.011481007,0.013070024,0.015197742,0.00544462,-0.001894485
8/31/2001,0.022017631,0.034554481,0.00481073,-0.001281177,0.072779616
9/28/2001,0.014543118,0.03164692,0.026716267,-0.047910887,0.073783273
10/31/2001,-0.023384748,0.01932874,0.027977386,-0.054953603,-0.047837043
11/30/2001,0.052437234,0.032665902,-0.029573501,-0.043208285,0.127680036
12/31/2001,-0.006119072,-0.012981743,0.025315438,0.034985589,-0.007366522
1/31/2002,-0.016572166,0.043874753,-0.001179433,-0.012091963,0.013471245
2/28/2002,0.014200835,0.022881732,0.041910025,-0.006319098,0.003672867
3/29/2002,-0.013356921,-0.079414164,-0.013615005,0.006469455,-0.009464728
4/30/2002,0.030235306,-0.021217934,0.002065824,-0.008189756,0.001557117
5/31/2002,0.076445673,0.057784097,0.062012734,-0.021115864,0.082545163
6/28/2002,0.026533851,0.015575541,-0.019375522,0.016368606,0.002609556
7/31/2002,0.043363971,0.006610328,-0.025428314,0.000963304,0.024684046
8/30/2002,-0.08323125,0.037948286,0.007718419,-0.074683984,0.073595612
9/30/2002,-0.041201921,-0.017915679,-0.020601299,0.029935499,-0.061503106
10/31/2002,-0.001936903,-0.027665981,-0.005178013,-0.00304158,0.031840265
